Depth Shifted To Core (ft),DTCO,DTSM,AF10,AF20,AF30,AF60,AF90,AO10,AO20,AO30,AO60,AO90,AT10,AT20,AT30,AT60,AT90,AFCO60,AORT,AORX,BFV,CBP1,CBP2,CBP3,CBP4,CBP5,CBP6,CBP7,CBP8,CDF,CFTC,CMFF,CMFF_SIG,CMR_PHI_CO,CMRP_3MS,CNTC,CTEM,DCAL,DNPH,DPHZ,DPH8,DSOZ,DWAL_WALK2,DWCA_WALK2,DWFE_WALK2,DWGD_WALK2,DWSI_WALK2,DWSU_WALK2,DWTI_WALK2,ECGR,ECST,ESUF_WALK2,GDEV,GR,GR_EDTC,GTEM,HCAL,HDRA,HDRB,HGR,HMIN,HMNO,HNPO,HPRA,HTNP,KSDR,KTIM,NPHI,NPOR,PEF8,PEFZ,PXND_HILT,QCPMT,RHGE_WALK2,RHO8,RHOZ,RSOZ,RXO8,RXOZ,SP,SPAR,STIT,T2LM,T2LM_SIG,TCMR,TENS,TNPH,WCAR_WALK2,WCLA_WALK2,WPYR_WALK2,WQFM_WALK2
10395.4,80.3683,152.5545,4.399,5.0682,5.0617,5.0118,5.0715,4.6212,6.6035,6.1158,5.9596,5.9568,4.394,5.1616,5.1789,5.479,5.7417,199.5299,5.3939,3.1912,0.1609,0.0273,0.033,0.0662,0.045,0.0014,0,0.0002,0.0016,1781.8168,975.5509,0.0138,0.0044,0.0008,0.1144,2507.238,183.3412,1.5071,-0.0217,0.0824,0.1785,0.2121,0.0782,0.0422,0.0415,2.0535,0.2834,0.0315,0.005,88.7069,63.5495,0.7206,2.4804,79.1791,76.8885,182.2964,10.2571,0.0247,0.2362,76.2697,7.4006,6.5495,0.2151,-0.0746,0.2237,0.0731,0.0685,0.2356,0.2221,9.0342,7.7088,0.1812,0.2979,2.7637,2.4048,2.569,0.0001,9.3404,9.5209,-207.4099,-206.7358,4.6399,4.429,-999.25,0.1747,5118.5,0.2235,0.0386,0.3931,0.0589,0.5094
10395.9,80.3011,152.9656,4.3699,4.813,4.7731,4.7559,4.8,4.2111,4.3362,4.2053,5.098,5.0717,4.3923,4.8306,4.6153,4.7297,4.761,210.2632,4.7734,3.3502,0.173,0.0341,0.036,0.0648,0.0542,0.0061,0.0001,0.0012,0.0005,2014.579,893.7474,0.024,0.0044,0.0008,0.1269,2431.1719,183.3412,1.5418,-0.022,0.1078,0.0466,0.1394,0.0826,0.043,0.0435,0,0.2752,0.0357,0.0055,89.8232,61.2084,0.7596,2.4573,80.0587,78.5647,182.2964,10.2918,-0.0242,0.1225,76.2696,7.3289,6.4858,0.2852,-0.8935,0.2485,0.1278,0.3219,0.2627,0.2694,8.3686,8.421,0.2023,0.6794,2.7725,2.6302,2.5257,0.0001,9.2493,9.3127,-206.6696,-206.7528,4.0739,4.5511,-999.25,0.197,5065,0.2486,0.0406,0.4198,0.0669,0.4727
10396.4,82.3404,151.3744,4.3012,4.593,4.6446,4.5724,4.4965,4.7046,4.3332,4.3778,5.1024,5.0685,4.554,4.6123,4.6572,4.2797,4.7676,218.7046,4.4122,3.5038,0.1997,0.0391,0.0413,0.0739,0.0663,0.0091,0.0019,0.0006,0.0001,1966.8137,827.8413,0.0327,0.0045,0.0008,0.152,2349.2893,183.3412,1.538,-0.0218,0.1378,0.087,0.0662,0.0859,0.0344,0.0461,0.1433,0.2788,0.0322,0.0058,91.0929,61.2084,0.7789,2.2689,81.2035,79.3332,182.2964,10.288,-0.0654,0.0068,87.669,7.393,6.5428,0.2953,-1.2575,0.2693,0.291,0.8606,0.26,0.2763,8.2802,8.5302,0.2232,0.5174,2.7717,2.5612,2.4743,0.0222,9.3309,8.1236,-206.5313,-206.7934,4.0767,4.7785,-999.25,0.2324,5066.3335,0.2693,0.0176,0.4416,0.0602,0.4806
10396.9,91.9007,167.9024,4.2169,4.4413,4.3236,4.259,4.1595,4.3559,4.2153,4.768,5.2312,5.1809,4.4097,4.6132,4.2159,4.1872,4.1747,234.7971,4.0296,3.6102,0.233,0.0412,0.0481,0.0889,0.0792,0.0089,0.0039,0.0001,0,1913.5873,824.3626,0.0372,0.0046,0.0008,0.181,2290.4314,183.3412,1.538,-0.0219,0.1614,0.0911,0.0181,0.0853,0.0342,0.046,3.3451,0.2799,0.0303,0.0054,94.7313,61.2084,0.7547,2.3418,84.447,81.242,182.2964,10.288,-0.0825,-0.0326,79.864,2.7134,3.0421,0.2427,-0.9908,0.2598,0.5581,1.3684,0.2587,0.2509,7.7234,7.9842,0.227,0.1905,2.7693,2.5543,2.4339,0.0439,6.3564,6.9855,-206.7643,-206.8101,3.2613,4.9856,-999.25,0.2702,4968.8335,0.2596,0.017,0.4374,0.0567,0.4889
10397.4,91.7124,160.0374,4.0549,4.3217,4.244,4.1546,4.0211,4.2015,4.974,4.2563,3.9097,3.8773,4.2077,4.4009,4.2072,4.0741,3.9966,240.7,3.6745,3.6411,0.2593,0.04,0.0533,0.1024,0.09,0.0063,0.0043,0.0005,0,1865.5061,825.6653,0.0376,0.0047,0.0008,0.2036,2295.4167,183.3412,1.6158,-0.0225,0.1375,0.1751,0.0589,0.0763,0.0447,0.0418,6.4509,0.2826,0.0235,0.0041,92.3834,61.2084,0.7001,2.3857,82.086,84.3561,182.2964,10.3658,-0.0603,0.0582,86,4.9388,4.464,0.2584,-0.6056,0.2594,0.8277,1.6322,0.2572,0.2627,6.7772,6.776,0.2182,0,2.7553,2.4105,2.4749,0.0372,6.5691,7.5198,-206.5037,-206.8373,2.6956,5.1594,-999.25,0.2969,4930,0.2592,0.0453,0.3834,0.044,0.5272
10397.9,91.7058,160.3276,3.9787,4.3465,4.261,4.149,3.9861,3.834,4.1646,3.3137,2.9679,2.9523,4.0937,4.1962,3.9437,3.8422,3.6841,241.0214,3.4647,3.5571,0.2598,0.0359,0.0519,0.1046,0.0949,0.0051,0.0022,0.0019,0,1815.7925,814.7789,0.0367,0.0047,0.0008,0.2087,2268.5754,183.3412,1.9947,-0.0253,0.1013,0.1926,0.0577,0.0686,0.0632,0.038,8.9302,0.2739,0.0191,0.0031,94.9817,61.2084,0.6766,0,83.0875,87.7994,182.2964,10.7447,-0.0347,0.1472,80.6217,10.1963,9.0334,0.2773,-0.2284,0.2575,0.9016,1.542,0.2596,0.265,7.0371,5.4502,0.204,0,2.7464,2.3807,2.5367,0.0001,12.9,9.8734,-206.8732,-206.8561,2.1564,5.3993,-999.25,0.2965,4874.8003,0.2573,0.095,0.3448,0.0358,0.5244
10398.4,90.3409,160.1502,4.0111,4.4466,4.358,4.2325,4.0644,2.4092,2.2832,2.3489,2.2074,2.1985,3.2823,3.5102,3.4263,3.613,3.4884,236.2673,3.4223,3.4973,0.2559,0.0289,0.0453,0.1077,0.106,0.0065,0.0005,0.002,0,1764.1536,782.0012,0.0411,0.0047,0.0008,0.2228,2212.6721,183.3412,1.0797,-0.0181,0.0613,0.0233,0.0638,0.0636,0.0673,0.0356,9.2528,0.2777,0.0154,0.0029,90.9302,63.5495,0.6946,0,82.6609,91.1031,182.2964,9.8297,-0.0109,0.1767,82.7087,10.1723,9.0121,0.2532,-0.0765,0.2727,1.1618,2.0122,0.2735,0.2533,3.5951,4.3285,0.195,0,2.7382,2.6702,2.6051,0.0001,12.8695,12.8638,-206.5129,-206.8509,1.6173,6.0996,-999.25,0.297,4796,0.2727,0.106,0.3195,0.0288,0.5456
10398.9,91.7077,159.5128,4.3117,4.5811,4.5318,4.4153,4.2773,5.7481,4.8621,4.7623,3.9581,3.9274,4.2216,5.675,5.1048,4.9258,4.572,226.4839,3.5371,3.582,0.2831,0.0187,0.0374,0.1321,0.1356,0.0077,0,0.0008,0.0004,1713.7234,745.7905,0.0495,0.0047,0.0008,0.2766,2166.9211,183.3412,1.0681,-0.0178,0.0561,0.0288,0.0311,0.0647,0.0584,0.036,7.4896,0.2861,0.0147,0.0038,92.3561,63.5495,0.7067,2.1811,83.9994,91.1497,182.2964,9.8181,-0.0033,0.1087,84.6166,10.1564,8.9979,0.2931,0.0037,0.2866,2.9882,3.9872,0.2859,0.2853,3.427,3.7584,0.198,0,2.7366,2.6608,2.6141,0.0001,12.8491,12.8529,-206.9564,-206.8557,1.0782,7.3312,-999.25,0.3326,4781.8335,0.2866,0.0822,0.3253,0.0275,0.565
10399.4,91.7086,160.6105,4.51,4.7464,4.8615,4.7299,4.5959,3.5788,5.7253,6.6696,5.7505,5.6786,4.8165,7.3233,6.4881,5.3962,4.7235,211.42,3.7035,3.8538,0.3337,0.008,0.0314,0.17,0.1741,0.0075,0,0,0.0005,1666.838,708.6613,0.0578,0.0048,0.0008,0.352,2124.7905,183.3412,1.0643,-0.0175,0.0575,0.0468,0.0068,0.0681,0.0412,0.0372,4.013,0.301,0.0183,0.0048,90.0752,63.5495,0.6928,2.2345,81.9386,91.0203,182.2964,9.8143,-0.0002,0.0421,84.5691,10.1223,8.9675,0.3235,-0.0161,0.3034,7.6892,7.3887,0.3074,0.3159,3.4292,3.5264,0.2044,0,2.74,2.63,2.6117,0.0001,12.8056,12.7575,-206.5956,-206.8503,0.5391,8.4725,-999.25,0.3915,4732.8335,0.3036,0.0359,0.3422,0.0342,0.5877
10399.9,91.7102,160.0247,4.9207,5.0715,5.0853,5.0242,4.7329,6.533,3.2845,4.7785,4.6856,4.7002,5.0701,4.8524,5.3945,5.2994,4.6597,199.0362,3.7908,4.4132,0.3772,0.0005,0.0296,0.2015,0.2001,0.0059,0,0,0.0005,1616.2314,687.3047,0.0608,0.0047,0.0008,0.4079,2091.9788,183.3412,1.0643,-0.0173,0.0602,0.0607,0,0.0675,0.0333,0.0371,3.2669,0.3111,0.0149,0.0053,90.5441,63.5495,0.6304,2.126,82.3651,90.5323,182.2964,9.8143,0,0.0065,76.2576,9.9496,8.814,0.3182,-0.0174,0.3125,12.1756,9.7251,0.3319,0.3219,3.4764,3.5011,0.2083,0.2403,2.7345,2.6063,2.6071,0.0001,12.5855,12.6278,-207.079,-206.8431,0,9.0569,-999.25,0.438,4630.167,0.3122,0.0145,0.3392,0.0279,0.6183
